Datetime,Heart Rate
2019-12-04 16:34:35,68
2019-12-04 16:34:40,67
2019-12-04 16:34:50,68
2019-12-04 16:34:55,69
2019-12-04 16:35:10,71
2019-12-04 16:35:20,70
2019-12-04 16:35:35,70
2019-12-04 16:35:45,67
2019-12-04 16:35:55,68
2019-12-04 16:36:10,68
2019-12-04 16:36:20,71
2019-12-04 16:36:25,72
2019-12-04 16:36:40,72
2019-12-04 16:36:45,70
2019-12-04 16:36:50,67
2019-12-04 16:36:55,65
2019-12-04 16:37:00,67
2019-12-04 16:37:10,68
2019-12-04 16:37:15,71
2019-12-04 16:37:21,72
2019-12-04 16:37:31,74
2019-12-04 16:37:36,76
2019-12-04 16:37:51,74
2019-12-04 16:37:56,71
2019-12-04 16:38:01,71
2019-12-04 16:38:11,69
2019-12-04 16:38:16,67
2019-12-04 16:38:31,68
2019-12-04 16:38:46,72
2019-12-04 16:38:51,70
2019-12-04 16:38:56,69
2019-12-04 16:39:01,67
2019-12-04 16:39:06,65
2019-12-04 16:39:11,66
2019-12-04 16:39:26,65
2019-12-04 16:39:41,65
2019-12-04 16:39:56,65
2019-12-04 16:40:06,65
2019-12-04 16:40:16,66
2019-12-04 16:40:54,70
2019-12-04 16:40:59,70
2019-12-04 16:42:47,70
2019-12-04 16:42:57,72
2019-12-04 16:43:02,85
2019-12-04 16:43:07,84
2019-12-04 16:43:12,76
2019-12-04 16:43:17,77
2019-12-04 16:43:22,76
2019-12-04 16:44:33,70
2019-12-04 16:45:17,70
2019-12-04 16:45:22,70
2019-12-04 16:45:27,78
2019-12-04 16:45:32,86
2019-12-04 16:45:37,85
2019-12-04 16:46:02,70
2019-12-04 16:46:12,74
2019-12-04 16:46:17,77
2019-12-04 16:46:22,71
2019-12-04 16:46:27,70
2019-12-04 16:46:32,69
2019-12-04 16:46:37,65
2019-12-04 16:46:52,65
2019-12-04 16:47:22,70
2019-12-04 16:47:27,70
2019-12-04 16:48:01,70
2019-12-04 16:48:06,70
2019-12-04 16:48:16,95
2019-12-04 16:48:21,99
2019-12-04 16:48:36,99
2019-12-04 16:48:51,99
2019-12-04 16:49:01,96
2019-12-04 16:49:16,96
2019-12-04 16:49:26,92
2019-12-04 16:49:31,94
2019-12-04 16:49:36,96
2019-12-04 16:49:41,97
2019-12-04 16:49:46,98
2019-12-11 14:13:51,100
2019-12-11 14:13:56,100
2019-12-11 14:14:06,102
2019-12-11 14:14:11,104
2019-12-11 14:14:16,105
2019-12-11 14:14:26,106
2019-12-11 14:14:31,107
2019-12-11 14:14:36,107
2019-12-11 14:14:41,104
2019-12-11 14:14:46,102
2019-12-11 14:14:51,100
2019-12-11 14:15:01,99
2019-12-11 14:15:06,96
2019-12-11 14:15:11,95
2019-12-11 14:15:17,95
2019-12-11 14:15:22,98
2019-12-11 14:15:27,98
2019-12-11 14:15:32,94
2019-12-11 14:15:37,92
2019-12-11 14:15:42,93
2019-12-11 14:15:47,95
2019-12-11 14:15:52,96
2019-12-11 14:15:57,97
2019-12-11 14:16:02,101
2019-12-11 14:16:12,99
2019-12-11 14:16:27,99
2019-12-11 14:16:42,100
2019-12-11 14:16:52,101
2019-12-11 14:16:57,102
2019-12-11 14:17:02,103
2019-12-11 14:17:07,98
2019-12-11 14:17:12,100
2019-12-11 14:17:17,96
2019-12-11 14:17:22,97
2019-12-11 14:17:27,100
2019-12-11 14:17:32,101
2019-12-11 14:17:42,98
2019-12-11 14:17:47,98
2019-12-11 14:17:52,99
2019-12-11 14:17:57,101
2019-12-11 14:18:07,100
2019-12-11 14:18:13,100
2019-12-11 14:18:18,101
2019-12-11 14:18:23,102
2019-12-11 14:18:28,101
2019-12-11 14:18:33,100
2019-12-11 14:18:38,101
2019-12-11 14:18:43,101
2019-12-11 14:18:48,102
2019-12-11 14:18:53,103
